variable,dummyVariable,typeEnd,databaseStart,variableStart,ICES.confirmation,typeStart,recEnd,numValidCat,catLabel,catLabelLong,units,recStart,catStartLabel,variableStartShortLabel,variableStartLabel,notes,version,lastUpdated,status,reviewNotes,review
SDCDCGT_cat13,SDCDCGT_cat13_cat13_1,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,1,14,White,White,N/A,1,White,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_2,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,2,14,Black,Black,N/A,2,Black,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_3,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,3,14,Korean,Korean,N/A,3,Korean,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_4,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,4,14,Filipino,Filipino,N/A,4,Filipino,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_5,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,5,14,Japanese,Japanese,N/A,5,Japanese,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_6,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,6,14,Chinese,Chinese,N/A,6,Chinese,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_7,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,7,14,Aboriginal/N ame,Aboriginal/N ame,N/A,7,Aboriginal/N ame,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_8,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,8,14,South Asian,South Asian,N/A,8,South Asian,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_9,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,9,14,South East Asian,South East Asian,N/A,9,South East Asian,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_10,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,10,14,Arab,Arab,N/A,10,Arab,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_11,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,11,14,West Asian,West Asian,N/A,11,West Asian,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_12,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,12,14,Latin American,Latin American,N/A,12,Latin American,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_13,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,13,14,Other,Other,N/A,13,Other,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_13,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,14,14,Multiple origins,Multiple origins,N/A,14,Multiple origins,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_NA::a,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,NA::a,14,not applicable,not applicable,N/A,96,not applicable,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_NA::b,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,NA::b,14,missing,missing,N/A,"[97, 99]",don't know (97); refusal (98); not stated (99),Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_NA::b,cat,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, [SDCDCGT]",ICES specific,cat,NA::b,14,missing,missing,N/A,else,else,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
SDCDCGT_cat13,SDCDCGT_cat13_cat13_1,cat,"cchs2015_2016_m, cchs2017_2018_m",[SDCDVCGT],ICES specific,cat,1,13,White only,White only,N/A,1,White only,Ethnicity,Cultural or racial origin,,,,active,v3.0.0alpha,
